case,cohort,uma,deck,base_seed,run,variant,rule_seed,score,skill_pt,rmj_ok,free_race_ok,friend_all,five,error
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,2,ptblend200,3612066084152622161,66744,8723,3,true,true,3337/2247/1630/1365/1596,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,2,ptblend200-capd0-rgn1,3612066084152622161,66744,8723,3,true,true,3337/2247/1630/1365/1596,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,2,ptblend200-capd0-rgn1-supermode3,3612066084152622161,66744,8723,3,true,true,3337/2247/1630/1365/1596,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,2,ptblend200-capd0-rgn1-supermode1,3612066084152622161,68092,8730,3,true,true,3337/2400/1566/1472/1596,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,3,base,8828047033377196168,63887,8737,3,true,true,3337/1513/2073/1163/1653,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,3,ptblend200,8828047033377196168,64009,8933,3,true,true,3337/1141/1916/953/2257,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,3,ptblend200-capd0-rgn1,8828047033377196168,64009,8933,3,true,true,3337/1141/1916/953/2257,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,3,ptblend200-capd0-rgn1-supermode3,8828047033377196168,64009,8933,3,true,true,3337/1141/1916/953/2257,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,3,ptblend200-capd0-rgn1-supermode1,8828047033377196168,64990,8895,3,true,true,3337/1577/1715/1199/2065,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,4,base,8411650149181592796,70950,9228,3,true,false,3337/2390/1676/1432/1907,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,4,ptblend200,8411650149181592796,70259,9215,3,true,true,3337/2400/1670/1503/1763,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,4,ptblend200-capd0-rgn1,8411650149181592796,70259,9215,3,true,true,3337/2400/1670/1503/1763,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,4,ptblend200-capd0-rgn1-supermode3,8411650149181592796,70259,9215,3,true,true,3337/2400/1670/1503/1763,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,4,ptblend200-capd0-rgn1-supermode1,8411650149181592796,70259,9215,3,true,true,3337/2400/1670/1503/1763,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,5,base,15206158021144599953,69070,9009,3,true,true,3337/2400/1850/1503/1387,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,5,ptblend200,15206158021144599953,67329,8819,3,true,true,3337/2400/1764/1633/1104,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,5,ptblend200-capd0-rgn1,15206158021144599953,67329,8819,3,true,true,3337/2400/1764/1633/1104,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,5,ptblend200-capd0-rgn1-supermode3,15206158021144599953,67329,8819,3,true,true,3337/2400/1764/1633/1104,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,5,ptblend200-capd0-rgn1-supermode1,15206158021144599953,67132,8800,3,true,true,3337/2400/1764/1603/1104,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,6,base,5537831091231495819,69128,9066,3,true,true,3337/2400/1654/1359/1712,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,6,ptblend200,5537831091231495819,67676,9065,3,true,true,3337/2203/1720/1283/1712,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,6,ptblend200-capd0-rgn1,5537831091231495819,67676,9065,3,true,true,3337/2203/1720/1283/1712,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,6,ptblend200-capd0-rgn1-supermode3,5537831091231495819,67676,9065,3,true,true,3337/2203/1720/1283/1712,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,6,ptblend200-capd0-rgn1-supermode1,5537831091231495819,67592,9045,3,true,true,3337/2203/1720/1283/1705,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,7,base,844278400871338572,68717,9177,3,true,true,3337/2400/1861/1333/1382,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,7,ptblend200,844278400871338572,67173,8847,3,true,true,3337/2400/1746/1305/1397,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,7,ptblend200-capd0-rgn1,844278400871338572,67173,8847,3,true,true,3337/2400/1746/1305/1397,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,7,ptblend200-capd0-rgn1-supermode3,844278400871338572,67173,8847,3,true,true,3337/2400/1746/1305/1397,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,7,ptblend200-capd0-rgn1-supermode1,844278400871338572,68372,9022,3,true,true,3337/2400/1754/1447/1397,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,8,base,345017473479344705,67494,8978,3,true,true,3337/2385/1586/1355/1603,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,8,ptblend200,345017473479344705,66774,8934,3,true,true,3337/2400/1515/1438/1493,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,8,ptblend200-capd0-rgn1,345017473479344705,66774,8934,3,true,true,3337/2400/1515/1438/1493,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,8,ptblend200-capd0-rgn1-supermode3,345017473479344705,66774,8934,3,true,true,3337/2400/1515/1438/1493,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,8,ptblend200-capd0-rgn1-supermode1,345017473479344705,66774,8934,3,true,true,3337/2400/1515/1438/1493,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,9,base,16052646003860713363,68881,8993,3,true,true,3337/2116/1731/1307/2002,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,9,ptblend200,16052646003860713363,68754,8884,3,true,true,3337/2400/1686/1455/1587,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,9,ptblend200-capd0-rgn1,16052646003860713363,68754,8884,3,true,true,3337/2400/1686/1455/1587,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,9,ptblend200-capd0-rgn1-supermode3,16052646003860713363,68754,8884,3,true,true,3337/2400/1686/1455/1587,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,9,ptblend200-capd0-rgn1-supermode1,16052646003860713363,68754,8884,3,true,true,3337/2400/1686/1455/1587,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,0,base,7824697627819198263,67554,8491,3,true,true,3337/2400/1224/1645/1802,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,0,ptblend200,7824697627819198263,66068,8415,3,true,true,3337/2304/1284/1570/1716,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,0,ptblend200-capd0-rgn1,7824697627819198263,66068,8415,3,true,true,3337/2304/1284/1570/1716,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,0,ptblend200-capd0-rgn1-supermode3,7824697627819198263,66068,8415,3,true,true,3337/2304/1284/1570/1716,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,0,ptblend200-capd0-rgn1-supermode1,7824697627819198263,66068,8415,3,true,true,3337/2304/1284/1570/1716,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,1,base,8381003435829733443,67412,8575,3,true,true,3337/2400/1236/1536/1834,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,1,ptblend200,8381003435829733443,66154,8341,3,true,true,3337/2400/1241/1491/1718,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,1,ptblend200-capd0-rgn1,8381003435829733443,66154,8341,3,true,true,3337/2400/1241/1491/1718,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,1,ptblend200-capd0-rgn1-supermode3,8381003435829733443,66154,8341,3,true,true,3337/2400/1241/1491/1718,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,1,ptblend200-capd0-rgn1-supermode1,8381003435829733443,66154,8341,3,true,true,3337/2400/1241/1491/1718,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,2,base,1158779688678979602,64984,8214,3,true,true,3337/2349/1178/1584/1640,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,2,ptblend200,1158779688678979602,66149,8302,3,true,true,3337/2400/1124/1558/1798,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,2,ptblend200-capd0-rgn1,1158779688678979602,66149,8302,3,true,true,3337/2400/1124/1558/1798,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,2,ptblend200-capd0-rgn1-supermode3,1158779688678979602,66149,8302,3,true,true,3337/2400/1124/1558/1798,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,2,ptblend200-capd0-rgn1-supermode1,1158779688678979602,64961,8264,3,true,true,3337/2208/1124/1368/1988,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,3,base,7213160632535205236,62651,7963,3,true,true,3160/2389/1111/1427/1766,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,3,ptblend200,7213160632535205236,63700,7989,3,true,true,3295/2400/1184/1486/1525,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,3,ptblend200-capd0-rgn1,7213160632535205236,63700,7989,3,true,true,3295/2400/1184/1486/1525,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,3,ptblend200-capd0-rgn1-supermode3,7213160632535205236,63700,7989,3,true,true,3295/2400/1184/1486/1525,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,3,ptblend200-capd0-rgn1-supermode1,7213160632535205236,64131,8012,3,true,true,3325/2400/1184/1486/1540,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,4,base,11980661888733814829,66099,8355,3,true,true,3337/2400/1566/1647/1278,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,4,ptblend200,11980661888733814829,63424,7899,3,true,true,3337/2400/1472/1727/962,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,4,ptblend200-capd0-rgn1,11980661888733814829,63424,7899,3,true,true,3337/2400/1472/1727/962,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,4,ptblend200-capd0-rgn1-supermode3,11980661888733814829,63424,7899,3,true,true,3337/2400/1472/1727/962,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,4,ptblend200-capd0-rgn1-supermode1,11980661888733814829,64252,8044,3,true,true,3337/2400/1449/1837/962,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,5,base,9766688491723538524,64415,8110,3,true,true,3337/2400/1397/1519/1240,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,5,ptblend200,9766688491723538524,63189,7928,3,true,true,3311/2400/1385/1555/1121,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,5,ptblend200-capd0-rgn1,9766688491723538524,63189,7928,3,true,true,3311/2400/1385/1555/1121,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,5,ptblend200-capd0-rgn1-supermode3,9766688491723538524,63189,7928,3,true,true,3311/2400/1385/1555/1121,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,5,ptblend200-capd0-rgn1-supermode1,9766688491723538524,63370,7942,3,true,true,3320/2400/1398/1557/1121,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,6,base,6315795816989683286,69944,8790,3,true,true,3337/2340/1286/1444/2289,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,6,ptblend200,6315795816989683286,69996,8763,3,true,true,3337/2400/1291/1520/2146,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,6,ptblend200-capd0-rgn1,6315795816989683286,69996,8763,3,true,true,3337/2400/1291/1520/2146,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,6,ptblend200-capd0-rgn1-supermode3,6315795816989683286,69996,8763,3,true,true,3337/2400/1291/1520/2146,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,6,ptblend200-capd0-rgn1-supermode1,6315795816989683286,69996,8763,3,true,true,3337/2400/1291/1520/2146,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,7,base,3058402553995587352,66407,8819,3,true,true,3337/2115/1475/1276/1970,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,7,ptblend200,3058402553995587352,66954,8758,3,true,true,3337/2212/1441/1319/1964,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,7,ptblend200-capd0-rgn1,3058402553995587352,66954,8758,3,true,true,3337/2212/1441/1319/1964,
